
 PLE train 1.00 lambda 

El 261: loss 32.0051, tacc 25.4314, cvacc 26.3012
El 262: loss 33.3743, tacc 26.9756, cvacc 25.2445
El 263: loss 32.0106, tacc 25.7087, cvacc 24.2979
El 264: loss 30.0234, tacc 23.5459, cvacc 24.2894
El 265: loss 31.5116, tacc 25.0281, cvacc 24.2817
El 266: loss 31.6254, tacc 25.2021, cvacc 26.2777
El 267: loss 30.4639, tacc 24.1084, cvacc 24.9142
El 268: loss 32.0049, tacc 25.7424, cvacc 25.1513
El 269: loss 31.4223, tacc 25.1128, cvacc 24.4039
El 270: loss 31.5168, tacc 25.1069, cvacc 24.3977
El 271: loss 31.0180, tacc 24.7651, cvacc 24.3664
           Current learning rate 5.6467e-03
El 272: loss 31.0310, tacc 24.4953, cvacc 25.4001
El 273: loss 32.2399, tacc 25.9115, cvacc 25.0344
El 274: loss 30.5431, tacc 24.2792, cvacc 24.4704
El 275: loss 37.4728, tacc 30.5931, cvacc 29.6037
El 276: loss 31.3563, tacc 25.0203, cvacc 24.2722
El 277: loss 30.9568, tacc 24.6494, cvacc 24.7319
El 278: loss 30.5902, tacc 24.3223, cvacc 24.2688
El 279: loss 33.6288, tacc 26.8156, cvacc 26.0468
El 280: loss 29.8120, tacc 23.5035, cvacc 24.3362
El 281: loss 30.8610, tacc 24.6144, cvacc 24.3107
           Current learning rate 5.4209e-03
El 282: loss 29.7838, tacc 23.5701, cvacc 24.2574
El 283: loss 32.6845, tacc 26.1532, cvacc 26.0137
El 284: loss 30.3700, tacc 23.8310, cvacc 26.3213
El 285: loss 31.1903, tacc 24.9171, cvacc 24.4908
El 286: loss 32.6012, tacc 25.8040, cvacc 25.4651
El 287: loss 29.6720, tacc 23.4380, cvacc 24.3331
El 288: loss 29.1440, tacc 22.8716, cvacc 24.2451
El 289: loss 30.5014, tacc 24.2087, cvacc 24.5503
El 290: loss 30.6847, tacc 24.3854, cvacc 25.4599
El 291: loss 30.4832, tacc 24.0518, cvacc 24.9239
El 292: loss 29.6569, tacc 23.4422, cvacc 24.2425
El 293: loss 30.1223, tacc 23.8710, cvacc 24.4379
El 294: loss 31.4480, tacc 25.1422, cvacc 24.3728
El 295: loss 29.7915, tacc 23.5237, cvacc 24.4357
El 296: loss 31.5040, tacc 25.3246, cvacc 24.2486
El 297: loss 29.7572, tacc 23.4117, cvacc 24.2411
El 298: loss 31.7387, tacc 25.4897, cvacc 24.3269
El 299: loss 31.6902, tacc 25.4160, cvacc 24.2153
El 300: loss 31.7649, tacc 25.6372, cvacc 26.4523
El 301: loss 30.8086, tacc 24.4829, cvacc 24.4505
           Current learning rate 5.2040e-03
El 302: loss 31.0366, tacc 24.2543, cvacc 24.6623
El 303: loss 33.3264, tacc 26.9379, cvacc 26.8732
El 304: loss 31.9329, tacc 25.7466, cvacc 24.2037
El 305: loss 31.6040, tacc 25.3715, cvacc 24.4171
El 306: loss 31.3414, tacc 25.2276, cvacc 24.7472
El 307: loss 30.2400, tacc 24.0070, cvacc 24.2043
El 308: loss 30.5195, tacc 24.2843, cvacc 24.2360
El 309: loss 32.3582, tacc 26.1372, cvacc 24.2411
El 310: loss 30.5407, tacc 24.3675, cvacc 24.2256
El 311: loss 31.3737, tacc 25.1731, cvacc 24.3661
El 312: loss 30.5703, tacc 24.3989, cvacc 24.9521
El 313: loss 31.1237, tacc 24.9092, cvacc 25.6311
El 314: loss 30.7039, tacc 24.3495, cvacc 24.2118
El 315: loss 29.8735, tacc 23.7106, cvacc 24.2367
El 316: loss 29.0710, tacc 22.7290, cvacc 24.5670
El 317: loss 30.3015, tacc 23.9450, cvacc 25.2780
El 318: loss 32.4200, tacc 26.0646, cvacc 24.3329
El 319: loss 30.0242, tacc 23.5960, cvacc 24.4395
El 320: loss 29.8872, tacc 23.7274, cvacc 24.2619
El 321: loss 29.3074, tacc 23.1660, cvacc 24.1823
El 322: loss 31.3099, tacc 25.2751, cvacc 25.1767
El 323: loss 28.7341, tacc 22.4033, cvacc 24.1949
El 324: loss 30.7808, tacc 24.5666, cvacc 24.9341
El 325: loss 31.4984, tacc 25.3513, cvacc 24.2514
El 326: loss 33.0927, tacc 26.7590, cvacc 26.3113
El 327: loss 29.4097, tacc 23.2461, cvacc 24.2252
El 328: loss 36.6735, tacc 30.4736, cvacc 26.8927
El 329: loss 31.8222, tacc 25.6950, cvacc 24.8048
El 330: loss 30.3170, tacc 24.2333, cvacc 24.5062
El 331: loss 30.4650, tacc 24.3879, cvacc 24.1934
El 332: loss 28.2780, tacc 22.1318, cvacc 24.2722
El 333: loss 29.4457, tacc 23.3303, cvacc 24.3640
El 334: loss 33.5943, tacc 27.5740, cvacc 25.2889
El 335: loss 29.7176, tacc 23.7358, cvacc 24.8571
El 336: loss 31.9947, tacc 25.8798, cvacc 24.6208
           Current learning rate 4.9959e-03
El 337: loss 30.3161, tacc 24.3115, cvacc 24.2745
El 338: loss 32.0611, tacc 26.0510, cvacc 24.1700
El 339: loss 33.3321, tacc 27.0037, cvacc 25.5292
El 340: loss 31.8379, tacc 25.6239, cvacc 24.2493
           Current learning rate 4.7960e-03
El 341: loss 30.1525, tacc 24.1341, cvacc 24.1752
El 342: loss 30.2544, tacc 24.2456, cvacc 24.3714
El 343: loss 30.7633, tacc 24.5889, cvacc 24.1572
El 344: loss 28.3217, tacc 22.1305, cvacc 24.1934
El 345: loss 29.8688, tacc 23.8060, cvacc 24.1811
El 346: loss 31.2911, tacc 25.2862, cvacc 24.6618
El 347: loss 31.0932, tacc 25.1472, cvacc 24.4216
El 348: loss 30.4866, tacc 24.3436, cvacc 24.6566
El 349: loss 30.6718, tacc 24.6098, cvacc 24.8732
El 350: loss 32.0030, tacc 25.9067, cvacc 25.1699
El 351: loss 34.6759, tacc 28.6321, cvacc 26.1698
El 352: loss 29.8510, tacc 23.9204, cvacc 24.6759
El 353: loss 31.3948, tacc 25.2681, cvacc 25.5867
El 354: loss 31.8356, tacc 25.8809, cvacc 25.0652
El 355: loss 30.8352, tacc 24.9275, cvacc 25.7562
El 356: loss 30.7905, tacc 24.7296, cvacc 24.5205
El 357: loss 34.1183, tacc 28.1821, cvacc 26.7828
El 358: loss 29.3840, tacc 23.4340, cvacc 24.1653
El 359: loss 36.4536, tacc 29.7043, cvacc 28.6977
El 360: loss 31.3450, tacc 25.2457, cvacc 24.2351
El 361: loss 29.8810, tacc 23.9029, cvacc 24.1407
El 362: loss 29.3697, tacc 23.4021, cvacc 24.8543
El 363: loss 29.1982, tacc 23.2867, cvacc 24.1505
El 364: loss 31.5855, tacc 25.6027, cvacc 24.1693
El 365: loss 29.5500, tacc 23.5523, cvacc 24.3403
El 366: loss 31.7451, tacc 25.6685, cvacc 24.6817
El 367: loss 30.4901, tacc 24.6010, cvacc 24.6071
El 368: loss 29.7095, tacc 23.5271, cvacc 24.1469
El 369: loss 30.5421, tacc 24.4901, cvacc 24.2178
El 370: loss 29.5278, tacc 23.6123, cvacc 24.1317
El 371: loss 29.8690, tacc 23.9836, cvacc 24.1299
           Current learning rate 4.6042e-03
El 372: loss 32.7155, tacc 26.5966, cvacc 25.3537
El 373: loss 29.8836, tacc 23.9789, cvacc 24.1323
El 374: loss 30.2008, tacc 24.3110, cvacc 24.1361
El 375: loss 29.9453, tacc 23.9471, cvacc 24.4575
El 376: loss 31.3845, tacc 25.5652, cvacc 24.4601
El 377: loss 30.7965, tacc 24.9008, cvacc 24.6942
El 378: loss 31.7295, tacc 25.6997, cvacc 24.1160
El 379: loss 30.3561, tacc 24.4519, cvacc 24.1337
El 380: loss 33.5859, tacc 27.7178, cvacc 27.8916
El 381: loss 32.9264, tacc 26.9674, cvacc 25.3076
El 382: loss 29.5881, tacc 23.7748, cvacc 24.3545
El 383: loss 29.7832, tacc 23.8516, cvacc 24.1684
El 384: loss 30.0365, tacc 24.1852, cvacc 24.2450
El 385: loss 29.4347, tacc 23.6335, cvacc 24.2044
El 386: loss 30.1977, tacc 24.2916, cvacc 24.6197
El 387: loss 29.9911, tacc 24.1297, cvacc 24.3723
El 388: loss 30.2807, tacc 24.4805, cvacc 24.5574
El 389: loss 29.7758, tacc 23.9134, cvacc 24.4885
